"Form type","Form description","Filing date","Reporting date"
"DEF 14A","Other definitive proxy statements","2016-10-18","2016-11-30"
"NO ACT","No Action Letter","2016-10-07","2016-07-22"
"PRE 14A","Other preliminary proxy statements","2016-10-03","2016-11-30"
"4","Statement of changes in beneficial ownership of securities","2016-09-29","2016-09-28"
"NO ACT","No Action Letter","2016-09-27","2016-07-22"
"8-K","Current report","2016-09-22","2016-09-20"
"4","Statement of changes in beneficial ownership of securities","2016-09-21","2016-09-20"
"4","Statement of changes in beneficial ownership of securities","2016-09-21","2016-09-19"
"4","Statement of changes in beneficial ownership of securities","2016-09-21","2016-09-19"
"4","Statement of changes in beneficial ownership of securities","2016-09-21","2016-09-19"
"4","Statement of changes in beneficial ownership of securities","2016-09-21","2016-09-19"
"4","Statement of changes in beneficial ownership of securities","2016-09-21","2016-09-19"
"4","Statement of changes in beneficial ownership of securities","2016-09-21","2016-09-19"
"4","Statement of changes in beneficial ownership of securities","2016-09-21","2016-09-19"
"4","Statement of changes in beneficial ownership of securities","2016-09-09","2016-09-08"
"4","Statement of changes in beneficial ownership of securities","2016-09-09","2016-09-08"
"4","Statement of changes in beneficial ownership of securities","2016-09-09","2016-09-08"
"4","Statement of changes in beneficial ownership of securities","2016-09-09","2016-09-08"
"4","Statement of changes in beneficial ownership of securities","2016-09-09","2016-09-08"
"4","Statement of changes in beneficial ownership of securities","2016-09-06","2016-09-02"
"4","Statement of changes in beneficial ownership of securities","2016-09-06","2016-09-02"
"4","Statement of changes in beneficial ownership of securities","2016-09-06","2016-09-02"
"4","Statement of changes in beneficial ownership of securities","2016-09-06","2016-09-02"
"4","Statement of changes in beneficial ownership of securities","2016-09-06","2016-09-02"
"4","Statement of changes in beneficial ownership of securities","2016-09-06","2016-09-02"
"4","Statement of changes in beneficial ownership of securities","2016-09-06","2016-09-02"
"4","Statement of changes in beneficial ownership of securities","2016-09-06","2016-09-02"
"4","Statement of changes in beneficial ownership of securities","2016-09-06","2016-09-02"
"4","Statement of changes in beneficial ownership of securities","2016-09-01","2016-08-31"
"4","Statement of changes in beneficial ownership of securities","2016-09-01","2016-08-31"
"4","Statement of changes in beneficial ownership of securities","2016-09-01","2016-08-31"
"4","Statement of changes in beneficial ownership of securities","2016-09-01","2016-08-31"
"4","Statement of changes in beneficial ownership of securities","2016-09-01","2016-08-31"
"4","Statement of changes in beneficial ownership of securities","2016-09-01","2016-08-31"
"4","Statement of changes in beneficial ownership of securities","2016-09-01","2016-08-31"
"4","Statement of changes in beneficial ownership of securities","2016-09-01","2016-08-31"
"4","Statement of changes in beneficial ownership of securities","2016-08-30","2016-08-29"
"4","Statement of changes in beneficial ownership of securities","2016-08-30","2016-08-29"
"4","Statement of changes in beneficial ownership of securities","2016-08-30","2016-08-29"
"4","Statement of changes in beneficial ownership of securities","2016-08-30","2016-08-29"
"4","Statement of changes in beneficial ownership of securities","2016-08-30","2016-08-29"
"4","Statement of changes in beneficial ownership of securities","2016-08-30","2016-08-30"
"4","Statement of changes in beneficial ownership of securities","2016-08-30","2016-08-29"
"4","Statement of changes in beneficial ownership of securities","2016-08-30","2016-08-29"
"4","Statement of changes in beneficial ownership of securities","2016-08-16","2016-08-15"
"4","Statement of changes in beneficial ownership of securities","2016-08-16","2016-08-15"
"5","Annual statement of changes in beneficial ownership of securities","2016-08-12","2016-06-30"
"5","Annual statement of changes in beneficial ownership of securities","2016-08-12","2016-06-30"
"4","Statement of changes in beneficial ownership of securities","2016-08-11","2016-08-10"
"4","Statement of changes in beneficial ownership of securities","2016-08-09","2016-08-08"
"8-K","Current report","2016-08-05","2016-08-01"
"424B2","Prospectus [Rule 424(b)(2)]","2016-08-02",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2016-08-02",""
"424B2","Prospectus [Rule 424(b)(2)]","2016-08-01",""
"4","Statement of changes in beneficial ownership of securities","2016-07-29","2016-07-27"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2016-07-28","2016-06-30"
"4","Statement of changes in beneficial ownership of securities","2016-07-27","2016-07-26"
"CERTNYS","Certification by the New York Stock Exchange approving securities for listing","2016-07-27",""
"8-A12B","Registration of securities [Section 12(b)]","2016-07-26",""
"4","Statement of changes in beneficial ownership of securities","2016-07-26","2016-07-22"
"4","Statement of changes in beneficial ownership of securities","2016-07-25","2016-07-21"
"8-K","Current report","2016-07-19","2016-07-19"
"3","Initial statement of beneficial ownership of securities","2016-07-15","2016-07-07"
"8-K","Current report","2016-07-07","2016-06-30"
"8-K","Current report","2016-07-05","2016-07-01"
"4","Statement of changes in beneficial ownership of securities","2016-07-01","2016-06-30"
"4","Statement of changes in beneficial ownership of securities","2016-06-28","2016-06-27"
"11-K","Annual report of employee stock purchase, savings and similar plans","2016-06-28","2015-12-31"
"11-K","Annual report of employee stock purchase, savings and similar plans","2016-06-22","2015-12-31"
"4","Statement of changes in beneficial ownership of securities","2016-06-17","2016-06-17"
"8-K","Current report","2016-06-13","2016-06-11"
"4","Statement of changes in beneficial ownership of securities","2016-06-10","2016-06-09"
"4","Statement of changes in beneficial ownership of securities","2016-06-10","2016-06-09"
"4","Statement of changes in beneficial ownership of securities","2016-06-10","2016-06-09"
"4","Statement of changes in beneficial ownership of securities","2016-06-10","2016-06-09"
"4","Statement of changes in beneficial ownership of securities","2016-06-10","2016-06-09"
"4","Statement of changes in beneficial ownership of securities","2016-06-03","2016-06-02"
"4","Statement of changes in beneficial ownership of securities","2016-06-03","2016-06-02"
"4","Statement of changes in beneficial ownership of securities","2016-06-03","2016-06-02"
"4","Statement of changes in beneficial ownership of securities","2016-06-03","2016-06-02"
"4","Statement of changes in beneficial ownership of securities","2016-06-03","2016-06-02"
"4","Statement of changes in beneficial ownership of securities","2016-06-03","2016-06-02"
"4","Statement of changes in beneficial ownership of securities","2016-06-03","2016-06-02"
"4","Statement of changes in beneficial ownership of securities","2016-06-03","2016-06-02"
"4","Statement of changes in beneficial ownership of securities","2016-06-03","2016-06-02"
"SD","Form - SD","2016-05-31",""
"8-K","Current report","2016-05-25","2016-05-25"
"4","Statement of changes in beneficial ownership of securities","2016-05-20","2016-05-20"
"4","Statement of changes in beneficial ownership of securities","2016-05-19","2016-05-18"
"4","Statement of changes in beneficial ownership of securities","2016-05-17","2016-05-16"
"4","Statement of changes in beneficial ownership of securities","2016-05-06","2016-05-05"
"4","Statement of changes in beneficial ownership of securities","2016-05-02","2016-04-28"
"4","Statement of changes in beneficial ownership of securities","2016-04-29","2016-04-26"
"4","Statement of changes in beneficial ownership of securities","2016-04-29","2016-04-27"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2016-04-21","2016-03-31"
"8-K","Current report","2016-04-21","2016-04-21"
"11-K","Annual report of employee stock purchase, savings and similar plans","2016-03-25","2015-12-31"
"8-K","Current report","2016-03-17","2016-03-15"
"4","Statement of changes in beneficial ownership of securities","2016-03-11","2016-03-10"
"4","Statement of changes in beneficial ownership of securities","2016-03-11","2016-03-10"
"4","Statement of changes in beneficial ownership of securities","2016-03-11","2016-03-10"
"4","Statement of changes in beneficial ownership of securities","2016-03-11","2016-03-10"
"4","Statement of changes in beneficial ownership of securities","2016-03-11","2016-03-10"
"4","Statement of changes in beneficial ownership of securities","2016-03-01","2016-02-29"
"4","Statement of changes in beneficial ownership of securities","2016-03-01","2016-02-29"
"4","Statement of changes in beneficial ownership of securities","2016-03-01","2016-02-29"
"4","Statement of changes in beneficial ownership of securities","2016-03-01","2016-02-29"
"4","Statement of changes in beneficial ownership of securities","2016-02-12","2016-02-11"
"4","Statement of changes in beneficial ownership of securities","2016-02-10","2016-02-09"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2016-02-10",""
"4","Statement of changes in beneficial ownership of securities","2016-02-08","2016-02-04"
"4","Statement of changes in beneficial ownership of securities","2016-02-05","2016-02-03"
"4","Statement of changes in beneficial ownership of securities","2016-02-04","2016-02-02"
"4","Statement of changes in beneficial ownership of securities","2016-02-03","2016-02-01"
"4","Statement of changes in beneficial ownership of securities","2016-02-02","2016-02-01"
"4","Statement of changes in beneficial ownership of securities","2016-02-01","2016-01-29"
"4","Statement of changes in beneficial ownership of securities","2016-02-01","2016-01-29"
"4","Statement of changes in beneficial ownership of securities","2016-02-01","2016-01-29"
"4","Statement of changes in beneficial ownership of securities","2016-02-01","2016-01-29"
"4","Statement of changes in beneficial ownership of securities","2016-02-01","2016-01-29"
"4","Statement of changes in beneficial ownership of securities","2016-02-01","2016-01-29"
"4","Statement of changes in beneficial ownership of securities","2016-02-01","2016-01-29"
"4","Statement of changes in beneficial ownership of securities","2016-02-01","2016-01-29"
"4","Statement of changes in beneficial ownership of securities","2016-02-01","2016-01-29"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2016-01-28","2015-12-31"
"8-K","Current report","2016-01-28","2016-01-28"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2016-01-26",""
"4","Statement of changes in beneficial ownership of securities","2015-12-11","2015-12-10"
"4","Statement of changes in beneficial ownership of securities","2015-12-11","2015-12-10"
"4","Statement of changes in beneficial ownership of securities","2015-12-11","2015-12-10"
"4","Statement of changes in beneficial ownership of securities","2015-12-11","2015-12-07"
"4","Statement of changes in beneficial ownership of securities","2015-12-11","2015-12-03"
"8-K","Current report","2015-12-04","2015-12-04"
"3","Initial statement of beneficial ownership of securities","2015-12-03","2015-12-02"
"3","Initial statement of beneficial ownership of securities","2015-12-03","2015-12-02"
"4","Statement of changes in beneficial ownership of securities","2015-12-03","2015-12-01"
"4","Statement of changes in beneficial ownership of securities","2015-12-03","2015-12-01"
"4","Statement of changes in beneficial ownership of securities","2015-12-03","2015-12-01"
"4","Statement of changes in beneficial ownership of securities","2015-12-03","2015-12-01"
"4","Statement of changes in beneficial ownership of securities","2015-12-03","2015-12-01"
"4","Statement of changes in beneficial ownership of securities","2015-12-03","2015-12-01"
"4","Statement of changes in beneficial ownership of securities","2015-12-03","2015-12-01"
"4","Statement of changes in beneficial ownership of securities","2015-12-03","2015-12-01"
"8-K","Current report","2015-12-03","2015-12-02"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2015-11-16",""
"4","Statement of changes in beneficial ownership of securities","2015-11-12","2015-11-10"
"8-K","Current report","2015-11-03","2015-10-29"
"424B2","Prospectus [Rule 424(b)(2)]","2015-10-30",""
"4","Statement of changes in beneficial ownership of securities","2015-10-30","2015-10-28"
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2015-10-30",""
"4","Statement of changes in beneficial ownership of securities","2015-10-29","2015-10-28"
"4","Statement of changes in beneficial ownership of securities","2015-10-29","2015-10-27"
"424B2","Prospectus [Rule 424(b)(2)]","2015-10-29",""
"S-3ASR","Automatic shelf registration statement of securities of well-known seasoned issuers","2015-10-29",""
"4","Statement of changes in beneficial ownership of securities","2015-10-28","2015-10-27"
"4","Statement of changes in beneficial ownership of securities","2015-10-28","2015-10-26"
"4","Statement of changes in beneficial ownership of securities","2015-10-27","2015-10-26"
"8-K","Current report","2015-10-27","2015-10-26"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2015-10-22","2015-09-30"
"8-K","Current report","2015-10-22","2015-10-22"
"ARS","Annual Report to Security Holders","2015-10-21","2015-06-30"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2015-10-19",""
"DEF 14A","Other definitive proxy statements","2015-10-19","2015-12-02"
"4","Statement of changes in beneficial ownership of securities","2015-09-29","2015-09-28"
"8-K","Current report","2015-09-29","2015-09-29"
"4","Statement of changes in beneficial ownership of securities","2015-09-17","2015-09-15"
"4","Statement of changes in beneficial ownership of securities","2015-09-17","2015-09-15"
"4","Statement of changes in beneficial ownership of securities","2015-09-17","2015-09-15"
"4","Statement of changes in beneficial ownership of securities","2015-09-17","2015-09-15"
"4","Statement of changes in beneficial ownership of securities","2015-09-17","2015-09-15"
"4","Statement of changes in beneficial ownership of securities","2015-09-17","2015-09-15"
"4","Statement of changes in beneficial ownership of securities","2015-09-17","2015-09-15"
"4","Statement of changes in beneficial ownership of securities","2015-09-11","2015-09-10"
"4","Statement of changes in beneficial ownership of securities","2015-09-11","2015-09-10"
"4","Statement of changes in beneficial ownership of securities","2015-09-11","2015-09-10"
"8-K","Current report","2015-09-11","2015-09-11"
"4","Statement of changes in beneficial ownership of securities","2015-09-04","2015-09-03"
"4","Statement of changes in beneficial ownership of securities","2015-09-04","2015-09-03"
"4","Statement of changes in beneficial ownership of securities","2015-09-04","2015-09-03"
"4","Statement of changes in beneficial ownership of securities","2015-09-04","2015-09-03"
"4","Statement of changes in beneficial ownership of securities","2015-09-04","2015-09-03"
"4","Statement of changes in beneficial ownership of securities","2015-09-04","2015-09-03"
"4","Statement of changes in beneficial ownership of securities","2015-09-04","2015-09-03"
"4","Statement of changes in beneficial ownership of securities","2015-09-04","2015-09-03"
"4","Statement of changes in beneficial ownership of securities","2015-09-01","2015-08-31"
"4","Statement of changes in beneficial ownership of securities","2015-09-01","2015-08-31"
"4","Statement of changes in beneficial ownership of securities","2015-09-01","2015-08-31"
"4","Statement of changes in beneficial ownership of securities","2015-09-01","2015-08-31"
"4","Statement of changes in beneficial ownership of securities","2015-09-01","2015-08-31"
"4","Statement of changes in beneficial ownership of securities","2015-09-01","2015-08-31"
"4","Statement of changes in beneficial ownership of securities","2015-09-01","2015-08-31"
"4","Statement of changes in beneficial ownership of securities","2015-09-01","2015-08-31"
"4","Statement of changes in beneficial ownership of securities","2015-08-17","2015-08-17"
"4","Statement of changes in beneficial ownership of securities","2015-08-17","2015-08-17"
"8-K","Current report","2015-08-07","2015-08-07"
"5","Annual statement of changes in beneficial ownership of securities","2015-08-05","2015-06-30"
"5","Annual statement of changes in beneficial ownership of securities","2015-08-05","2015-06-30"
"5","Annual statement of changes in beneficial ownership of securities","2015-08-05","2015-06-30"
"4","Statement of changes in beneficial ownership of securities","2015-07-31","2015-07-29"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2015-07-31","2015-06-30"
"4","Statement of changes in beneficial ownership of securities","2015-07-30","2015-07-28"
"4","Statement of changes in beneficial ownership of securities","2015-07-29","2015-07-27"
"4","Statement of changes in beneficial ownership of securities","2015-07-28","2015-07-27"
"8-K","Current report","2015-07-21","2015-07-21"
"8-K","Current report","2015-07-08","2015-07-08"
"4","Statement of changes in beneficial ownership of securities","2015-07-01","2015-06-30"
"11-K","Annual report of employee stock purchase, savings and similar plans","2015-06-29","2014-12-31"
"11-K","Annual report of employee stock purchase, savings and similar plans","2015-06-29","2014-12-31"
"4","Statement of changes in beneficial ownership of securities","2015-06-26","2015-06-25"
"11-K","Annual report of employee stock purchase, savings and similar plans","2015-06-24","2014-12-31"
"4","Statement of changes in beneficial ownership of securities","2015-06-18","2015-06-17"
"4","Statement of changes in beneficial ownership of securities","2015-06-12","2015-06-11"
"4","Statement of changes in beneficial ownership of securities","2015-06-12","2015-06-11"
"4","Statement of changes in beneficial ownership of securities","2015-06-12","2015-06-11"
"4","Statement of changes in beneficial ownership of securities","2015-06-04","2015-06-03"
"4","Statement of changes in beneficial ownership of securities","2015-06-04","2015-06-03"
"4","Statement of changes in beneficial ownership of securities","2015-06-04","2015-06-03"
"4","Statement of changes in beneficial ownership of securities","2015-06-04","2015-06-03"
"4","Statement of changes in beneficial ownership of securities","2015-06-04","2015-06-03"
"4","Statement of changes in beneficial ownership of securities","2015-06-04","2015-06-03"
"4","Statement of changes in beneficial ownership of securities","2015-06-04","2015-06-03"
"4","Statement of changes in beneficial ownership of securities","2015-06-04","2015-06-03"
